puntualidad,planificacion,dominio_contenido,participacion,evaluacion,retroalimentacion,uso_tecnologia,gestion_aula,comunicacion,empatia,asistencia,innovacion,nivel_desempeno,codigo_clase,score_global
79.52,89.35,81.94,88.38,77.67,86.95,93.2,87.17,32.77,34.86,85.04,77.36,Bueno,1,76.18
76.68,19.55,85.19,38.9,72.5,8.08,17.23,14.56,83.75,32.01,49.65,37.83,Insuficiente,3,44.66
77.31,73.88,82.16,96.13,62.44,89.21,29.69,93.32,76.38,82.72,72.95,77.18,Sobresaliente,0,76.11
85.69,28.93,83.8,0.0,38.7,34.18,37.91,20.65,36.48,34.44,8.31,12.83,Insuficiente,3,35.16
74.17,32.07,96.83,92.68,77.46,78.16,30.56,87.34,83.36,86.72,87.37,82.61,Sobresaliente,0,75.78
94.44,85.24,39.87,87.67,24.05,79.91,72.73,71.1,87.14,31.36,100.0,84.56,Bueno,1,71.51
91.73,86.84,92.08,34.27,30.73,36.81,18.72,80.25,79.09,35.18,36.8,41.5,Regular,2,55.33
29.82,25.74,88.8,38.5,25.13,27.71,45.62,73.06,80.77,35.65,18.38,71.99,Regular,2,46.76
47.23,17.52,84.02,29.14,34.39,18.69,82.6,31.56,43.68,50.47,33.07,26.61,Insuficiente,3,41.58
82.06,82.19,67.02,83.97,81.51,67.71,87.31,89.73,34.06,82.02,33.42,91.1,Sobresaliente,0,73.51
91.32,81.1,77.62,86.43,91.17,79.93,87.65,84.25,100.0,79.33,96.07,84.58,Sobresaliente,0,86.62
90.16,86.82,76.68,68.1,82.93,86.31,82.92,81.57,79.47,90.73,84.58,85.99,Sobresaliente,0,83.02
22.32,15.68,22.94,21.84,24.09,15.24,21.93,30.66,34.08,73.98,30.02,20.36,Insuficiente,3,27.76
85.62,75.66,88.66,40.92,89.83,18.75,41.12,68.8,68.7,16.93,29.92,12.33,Regular,2,53.1
95.85,84.05,82.21,26.44,84.94,24.45,17.66,87.47,91.78,27.25,31.16,21.69,Regular,2,56.25
43.2,27.25,100.0,16.49,13.38,23.95,80.94,34.53,66.68,23.28,13.53,25.68,Insuficiente,3,39.08
32.23,81.24,92.37,33.05,26.66,38.95,24.7,36.5,21.03,32.7,30.91,34.53,Insuficiente,3,40.41
18.46,70.57,84.58,80.01,88.51,76.56,81.27,76.93,76.22,31.5,81.01,88.28,Bueno,1,71.16
32.98,75.66,29.01,75.61,26.72,81.36,75.37,11.57,88.94,34.6,31.67,99.87,Bueno,1,55.28
12.68,81.99,80.41,78.32,84.53,30.99,76.54,97.19,91.75,81.38,91.26,73.27,Sobresaliente,0,73.36
92.07,85.48,94.24,85.66,77.83,93.97,86.87,86.34,86.04,32.1,91.94,87.24,Bueno,1,83.32
28.14,88.81,96.1,88.04,90.95,37.19,39.25,85.14,64.86,32.9,92.65,85.79,Regular,2,69.15
84.15,23.39,81.71,13.91,36.64,89.52,44.07,38.6,27.07,18.48,30.3,30.24,Insuficiente,3,43.17
93.47,81.58,24.35,29.41,80.82,83.36,98.32,96.52,89.65,86.77,13.72,89.08,Bueno,1,72.25
90.13,92.17,81.03,92.39,94.39,94.09,39.9,83.83,83.61,91.6,34.02,86.68,Sobresaliente,0,80.32
81.74,82.03,79.7,92.8,35.36,83.13,82.37,89.45,87.58,78.34,98.73,87.06,Sobresaliente,0,81.52
23.85,11.9,33.63,49.84,38.29,41.55,77.25,32.33,15.01,49.79,35.7,8.95,Insuficiente,3,34.84
78.76,98.27,34.07,82.67,96.72,93.7,89.27,26.72,15.44,88.14,89.38,83.63,Sobresaliente,0,73.06
27.17,38.16,82.02,40.24,85.72,28.35,34.84,37.45,90.81,25.61,22.33,90.47,Regular,2,50.27
24.04,90.49,95.35,73.78,87.92,82.53,82.43,32.06,76.4,45.5,89.93,91.42,Bueno,1,72.65
34.6,87.41,77.49,96.94,80.4,0.38,11.55,65.85,77.57,21.64,53.13,41.41,Regular,2,54.03
85.37,89.45,89.82,74.8,93.65,76.62,85.79,35.28,84.83,20.34,81.49,89.01,Bueno,1,75.54
80.15,79.8,32.75,27.95,88.35,14.74,10.61,84.74,69.43,16.26,27.52,34.97,Regular,2,47.27
85.82,100.0,90.42,90.5,72.49,84.34,75.06,90.71,82.7,84.83,83.82,79.86,Bueno,1,85.05
28.84,36.82,86.05,31.92,27.59,29.87,48.32,38.85,21.12,29.67,25.13,26.7,Insuficiente,3,35.91
41.12,36.07,84.8,35.11,40.48,34.01,71.97,34.34,19.59,22.25,83.07,86.43,Insuficiente,3,49.1
19.69,85.93,88.09,88.28,75.55,84.29,71.28,92.51,77.05,42.17,81.62,33.45,Bueno,1,69.99
93.03,92.94,87.58,85.22,82.98,89.41,92.36,85.48,88.6,82.41,73.71,76.99,Sobresaliente,0,85.89
85.02,86.15,90.06,40.13,86.59,83.39,31.67,37.01,81.84,26.97,90.16,18.92,Regular,2,63.16
92.89,80.55,99.68,24.35,100.0,35.62,78.58,82.12,32.05,38.59,39.86,43.43,Regular,2,62.31
9.81,26.07,81.34,31.07,15.13,21.97,66.8,31.27,82.58,99.6,41.19,34.64,Insuficiente,3,45.12
64.22,21.65,76.9,83.9,89.93,83.83,79.4,86.23,77.31,22.09,79.87,100.0,Sobresaliente,0,72.11
25.43,50.07,83.78,93.61,80.97,39.63,45.96,35.28,16.12,26.73,30.71,35.61,Insuficiente,3,46.99
78.05,51.87,85.05,27.74,28.67,20.38,16.8,37.92,27.72,26.25,28.51,36.8,Insuficiente,3,38.82
99.07,89.1,84.3,78.17,19.22,29.88,85.88,87.08,68.62,85.17,90.22,86.35,Sobresaliente,0,75.25
96.08,23.65,32.82,18.96,39.07,27.88,35.7,38.7,10.53,27.77,45.07,30.14,Insuficiente,3,35.53
72.98,78.47,87.57,89.23,77.62,82.34,83.93,83.7,90.4,85.74,30.41,73.68,Bueno,1,78.01
95.15,81.77,82.55,87.55,82.59,80.94,98.22,83.39,19.92,27.66,99.69,36.3,Bueno,1,72.98
100.0,87.89,78.47,90.88,75.55,94.03,94.65,80.42,79.98,86.41,85.11,77.18,Sobresaliente,0,85.88
19.85,81.36,97.12,75.03,91.89,32.59,91.99,100.0,96.88,21.39,71.49,91.54,Sobresaliente,0,72.59
72.92,77.68,87.69,79.73,72.82,93.31,88.95,88.95,81.2,93.23,23.67,93.77,Sobresaliente,0,79.49
81.3,100.0,95.69,45.73,78.3,95.21,34.79,86.03,82.74,24.96,25.82,40.96,Regular,2,65.96
36.03,27.04,83.38,26.01,34.74,91.87,26.24,38.95,28.75,25.47,29.6,22.08,Insuficiente,3,39.18
79.52,80.99,95.31,77.23,70.59,88.25,75.87,81.48,92.29,16.76,92.03,79.55,Bueno,1,77.49
76.64,85.61,67.28,81.38,19.08,89.32,92.01,78.16,97.87,80.26,68.55,65.96,Bueno,1,75.18
31.78,23.12,76.58,27.66,32.29,37.47,37.49,40.07,31.82,24.26,13.76,26.25,Insuficiente,3,33.54
92.14,24.51,80.17,83.33,100.0,73.86,27.67,80.11,87.49,90.1,40.63,7.33,Regular,2,65.61
94.72,96.47,67.27,28.18,84.21,14.27,0.0,79.58,94.81,26.39,19.9,34.22,Regular,2,53.33
72.28,81.34,85.97,14.36,83.34,82.39,96.69,79.52,93.12,27.05,74.34,86.95,Bueno,1,73.11
11.78,81.79,87.31,44.64,28.62,35.0,12.45,17.51,28.12,16.34,41.13,25.8,Insuficiente,3,35.87
76.41,100.0,82.67,35.44,86.86,43.17,33.4,85.9,82.26,28.4,33.18,27.45,Regular,2,59.59
76.15,82.84,83.18,86.33,87.17,83.29,94.1,67.88,85.0,55.09,86.06,86.77,Sobresaliente,0,81.15
77.17,78.8,78.15,86.38,13.12,93.6,80.97,85.64,72.04,22.27,78.03,14.47,Bueno,1,65.05
88.61,69.78,69.49,83.08,86.89,81.11,66.74,85.08,74.38,20.11,84.1,86.99,Bueno,1,74.7
96.49,89.75,20.7,84.52,92.6,88.96,88.06,78.14,79.9,20.82,92.36,78.37,Bueno,1,75.89
28.07,86.1,78.28,81.86,35.13,85.34,88.52,79.06,77.01,38.41,84.21,84.75,Bueno,1,70.56
27.27,14.43,90.59,19.26,98.87,35.37,14.67,79.81,74.12,27.05,19.84,25.53,Regular,2,43.9
89.88,89.52,82.8,92.16,83.18,89.93,77.4,85.82,88.33,41.16,81.69,80.75,Bueno,1,81.88
15.63,28.73,91.74,33.48,42.89,38.56,26.78,24.82,24.58,33.48,85.95,24.87,Insuficiente,3,39.29
20.38,33.54,91.73,41.26,16.31,20.88,81.33,87.97,41.47,9.77,21.75,15.26,Insuficiente,3,40.14
89.99,80.68,85.57,71.5,96.34,88.88,84.0,87.46,86.77,35.52,85.88,72.68,Bueno,1,80.44
90.78,89.21,21.66,87.37,74.8,78.96,91.89,78.7,88.44,29.39,100.0,38.5,Bueno,1,72.48
31.34,12.18,84.76,23.1,89.2,25.16,25.02,33.92,24.79,25.61,16.11,20.65,Insuficiente,3,34.32
82.89,83.04,45.63,90.49,87.33,41.44,85.22,76.11,37.05,39.74,81.97,85.79,Bueno,1,69.73
93.06,33.26,90.79,55.6,90.89,48.63,38.13,89.6,72.27,27.7,36.38,31.8,Regular,2,59.01
78.83,90.02,89.33,84.84,79.22,90.32,71.2,82.1,82.82,27.61,86.07,79.51,Bueno,1,78.49
98.65,91.81,15.17,96.72,72.89,32.23,79.75,62.76,100.0,97.62,76.74,86.35,Sobresaliente,0,75.89
93.08,27.81,84.41,41.05,91.07,27.55,21.73,76.25,84.02,35.04,41.78,46.46,Regular,2,55.85
68.83,83.58,82.67,81.39,71.47,82.08,84.67,85.84,75.66,90.2,75.0,83.16,Sobresaliente,0,80.38
32.4,77.89,91.3,80.68,32.35,12.45,78.71,90.21,72.06,84.43,90.74,81.98,Sobresaliente,0,68.77
12.52,35.58,78.89,24.42,40.73,38.99,17.61,35.26,34.7,23.02,35.75,37.45,Insuficiente,3,34.58
99.96,74.62,88.69,42.3,89.14,82.94,36.3,86.79,74.72,89.3,21.97,23.83,Regular,2,67.55
41.09,34.76,20.36,20.78,35.35,52.18,28.09,44.85,47.98,17.84,24.07,44.3,Insuficiente,3,34.3
58.72,18.8,89.02,29.49,18.69,75.09,22.97,26.56,25.14,38.13,83.66,81.33,Insuficiente,3,47.3
85.68,86.4,80.75,84.74,97.87,71.38,87.07,77.74,86.5,91.72,84.54,91.18,Sobresaliente,0,85.47
42.47,38.42,94.02,20.25,6.91,23.84,28.4,33.11,24.9,29.24,31.58,14.6,Insuficiente,3,32.31
85.46,82.5,80.7,34.24,75.81,93.69,72.13,88.82,73.78,39.05,35.6,34.35,Regular,2,66.34
84.35,87.38,78.59,98.44,76.06,26.27,86.5,74.58,89.16,89.66,82.25,99.87,Bueno,1,81.09
60.04,87.49,70.59,86.33,77.98,85.83,95.92,71.34,86.53,84.37,19.53,35.42,Bueno,1,71.78
83.75,81.62,85.82,92.25,87.64,43.62,68.81,32.93,100.0,15.9,82.46,78.21,Bueno,1,71.08
29.13,79.83,85.27,35.05,25.98,37.21,25.05,39.5,37.23,57.83,19.11,78.16,Insuficiente,3,45.78
92.69,86.56,87.97,82.2,87.52,85.45,96.64,90.8,83.05,29.0,90.73,91.04,Bueno,1,83.64
92.67,77.75,84.69,71.22,90.21,76.35,70.55,84.53,93.85,72.8,76.3,79.05,Sobresaliente,0,80.83
90.55,80.96,81.63,73.04,37.67,31.41,24.9,34.45,92.14,31.81,81.31,33.82,Regular,2,57.81
15.82,94.52,98.8,79.37,71.19,94.38,93.87,91.57,94.25,78.06,83.65,73.93,Sobresaliente,0,80.78
90.38,70.34,90.33,35.99,77.62,32.45,42.75,80.16,83.26,25.97,47.69,84.23,Regular,2,63.43
11.98,37.54,100.0,33.58,26.72,30.08,25.36,41.55,35.12,50.08,26.35,44.62,Insuficiente,3,38.58
91.58,73.68,83.81,75.14,85.54,79.2,95.42,88.7,34.67,22.93,74.88,33.49,Bueno,1,69.92
23.55,73.02,79.81,28.89,87.5,97.7,36.32,72.73,78.95,77.64,75.26,88.48,Sobresaliente,0,68.32
88.49,86.16,86.41,50.75,91.54,76.98,79.91,87.65,80.02,81.99,77.35,31.78,Sobresaliente,0,76.59
100.0,96.09,77.68,96.17,94.23,90.97,87.8,86.65,77.77,80.61,90.62,85.88,Bueno,1,88.71
30.69,35.74,83.58,17.71,24.18,84.78,27.24,36.28,22.47,34.57,23.07,78.97,Insuficiente,3,41.61
76.29,90.05,86.75,34.07,99.08,27.36,32.78,23.33,78.26,13.53,36.4,39.19,Regular,2,53.09
21.36,34.46,86.87,29.27,15.34,44.46,43.79,24.29,49.43,30.51,22.21,87.68,Insuficiente,3,40.81
83.03,94.35,76.28,25.48,90.81,46.24,84.21,100.0,97.2,41.31,27.04,40.11,Regular,2,67.17
80.81,64.25,78.09,92.61,86.67,78.0,87.35,68.41,82.28,23.64,90.14,78.36,Bueno,1,75.89
82.12,79.59,39.11,87.28,90.12,94.46,94.7,32.19,95.9,90.29,72.75,83.95,Sobresaliente,0,78.54
92.2,96.71,77.24,39.76,39.12,15.57,77.26,35.72,39.56,21.8,38.84,33.68,Insuficiente,3,50.62
76.57,87.7,96.26,73.37,83.33,79.94,70.91,90.88,84.81,85.57,36.3,88.64,Sobresaliente,0,79.52
83.45,88.47,90.46,82.27,71.48,87.94,17.93,82.36,80.16,9.98,66.52,14.9,Sobresaliente,0,64.66
82.19,82.59,67.01,37.49,85.77,23.2,29.08,100.0,88.26,29.98,23.3,23.16,Regular,2,56.0
7.26,35.05,86.88,32.75,27.57,34.81,30.83,27.08,34.9,62.55,7.26,30.22,Insuficiente,3,34.76
94.12,85.0,16.86,60.98,80.41,43.17,70.71,80.71,87.3,89.6,98.05,70.9,Bueno,1,73.15
96.0,30.53,88.05,41.35,90.68,23.17,25.99,91.98,88.16,42.45,37.84,43.87,Regular,2,58.34
83.11,83.94,98.09,32.42,80.43,82.04,28.77,87.95,92.2,35.59,27.47,21.66,Regular,2,62.81
90.15,29.58,71.5,36.31,43.24,31.77,15.94,37.49,19.48,28.54,33.79,22.05,Insuficiente,3,38.32
86.08,19.23,95.76,94.23,79.8,100.0,76.97,87.51,94.46,22.45,93.01,84.48,Bueno,1,77.83
40.83,49.76,86.41,13.8,27.65,6.17,21.57,17.27,29.62,33.59,20.42,90.51,Insuficiente,3,36.47
85.91,83.46,82.4,86.47,24.07,31.67,34.45,26.62,78.81,44.46,25.63,32.7,Regular,2,53.05
100.0,91.24,90.55,31.41,81.6,100.0,18.04,84.12,100.0,36.15,87.6,36.52,Regular,2,71.44
85.93,75.79,93.9,93.5,12.67,81.21,89.12,33.92,81.89,82.29,74.6,73.45,Sobresaliente,0,73.19
48.17,22.75,23.31,84.93,17.28,25.43,86.44,90.91,82.57,75.23,34.45,16.28,Regular,2,50.65
88.45,56.09,93.61,75.39,35.64,86.91,88.64,100.0,89.93,78.01,91.45,78.23,Sobresaliente,0,80.2
80.54,41.1,89.83,33.53,80.03,24.86,32.94,85.93,100.0,25.66,91.67,14.82,Regular,2,58.41
69.22,76.97,71.61,98.11,74.69,85.91,80.71,23.82,22.45,90.3,83.53,92.53,Sobresaliente,0,72.49
20.89,26.86,96.88,47.13,88.4,32.98,39.89,27.6,19.37,21.36,31.14,23.37,Insuficiente,3,39.66
76.56,29.71,75.58,93.96,86.38,77.91,75.97,82.37,84.58,24.92,89.19,73.75,Bueno,1,72.57
84.25,89.23,88.66,33.78,91.99,47.99,25.57,69.58,82.39,33.14,40.88,44.21,Regular,2,60.97
38.42,29.94,64.51,34.02,25.28,44.58,24.96,34.36,23.61,27.67,27.48,23.32,Insuficiente,3,33.18
29.01,41.1,100.0,34.16,29.66,27.02,30.07,37.5,31.32,32.92,29.65,88.8,Insuficiente,3,42.6
29.63,80.32,79.63,80.27,82.24,30.94,41.88,39.13,89.29,22.35,81.81,93.64,Bueno,1,62.59
89.0,33.27,98.95,38.79,37.95,31.06,37.48,19.67,11.96,24.27,27.71,55.07,Insuficiente,3,42.1
33.62,85.93,96.7,22.52,76.79,82.81,30.9,80.91,48.12,43.25,70.59,23.66,Bueno,1,57.98
86.36,95.27,77.99,45.51,79.44,13.1,34.37,84.98,90.03,30.74,28.85,35.28,Regular,2,58.49
94.67,78.76,44.55,92.28,75.07,22.84,74.43,85.94,98.06,78.98,86.81,77.82,Sobresaliente,0,75.85
79.35,88.62,81.6,35.67,85.19,19.06,8.25,89.78,89.42,33.37,44.85,82.6,Regular,2,61.48
51.89,36.57,88.34,25.58,81.48,34.55,11.47,39.76,18.93,27.71,3.88,34.57,Insuficiente,3,37.89
30.27,93.17,74.58,77.74,100.0,25.85,42.93,83.23,80.61,75.21,20.0,33.09,Regular,2,61.39
87.73,87.56,93.27,17.84,78.29,83.72,91.34,88.49,81.45,29.17,91.68,92.21,Bueno,1,76.9
94.37,79.59,23.79,38.47,86.17,10.71,32.68,72.63,90.7,28.64,14.63,25.03,Regular,2,49.78
96.2,73.13,91.97,83.06,83.93,85.07,87.77,15.8,70.17,85.35,24.45,94.33,Bueno,1,74.27
91.64,91.52,80.07,88.81,81.86,85.7,86.04,89.74,79.92,17.48,86.53,85.51,Bueno,1,80.4
80.83,76.99,82.34,83.22,80.0,73.34,82.5,36.23,81.04,14.93,68.43,83.34,Bueno,1,70.27
85.74,87.48,15.74,26.49,38.28,21.52,25.78,78.85,43.43,25.59,22.82,92.45,Insuficiente,3,47.02
35.07,25.16,85.22,30.18,82.0,83.58,8.69,51.97,97.18,26.58,10.29,26.75,Insuficiente,3,46.89
84.69,70.06,90.88,92.99,94.24,94.17,24.14,16.87,81.15,84.49,19.97,19.43,Bueno,1,64.42
77.5,87.22,92.06,78.3,83.29,94.1,80.93,86.54,76.63,78.31,80.81,15.56,Sobresaliente,0,77.6
95.49,90.89,86.02,46.19,94.14,23.2,25.11,91.25,90.0,37.49,36.32,17.33,Regular,2,61.12
100.0,8.0,92.1,84.28,84.89,73.4,81.32,90.95,84.34,85.65,82.67,31.58,Sobresaliente,0,74.93
94.43,91.79,95.67,90.28,88.54,41.08,26.61,90.05,19.09,38.06,76.01,16.75,Regular,2,64.03
86.96,7.1,80.55,24.32,44.93,30.29,22.51,35.72,27.44,81.97,20.86,36.52,Insuficiente,3,41.6
78.42,100.0,85.93,82.97,83.16,89.81,85.41,83.58,27.22,79.22,22.85,91.34,Sobresaliente,0,75.83
77.56,84.77,90.56,74.25,81.34,69.79,25.22,70.27,83.12,74.86,87.17,86.25,Sobresaliente,0,75.43
25.92,47.73,87.14,31.35,23.2,24.39,26.33,97.66,22.27,31.92,30.59,34.89,Insuficiente,3,40.28
88.41,98.39,69.73,94.37,80.45,100.0,88.49,83.5,93.84,89.21,80.26,41.23,Sobresaliente,0,83.99
96.07,95.88,76.44,100.0,77.98,83.37,76.71,31.8,74.94,22.69,24.82,87.16,Bueno,1,70.66
86.37,94.72,100.0,28.71,87.64,37.61,80.23,82.15,80.32,27.08,25.55,14.43,Regular,2,62.07
96.85,85.95,97.68,87.66,77.74,84.45,95.11,23.13,85.01,85.4,16.62,80.24,Sobresaliente,0,76.32
31.58,35.14,93.28,39.5,93.59,23.1,39.4,30.39,30.82,43.46,40.45,22.26,Insuficiente,3,43.58
38.53,39.01,80.17,40.47,32.22,17.71,26.24,26.82,34.88,37.05,19.06,37.45,Insuficiente,3,35.8
100.0,80.85,83.97,92.14,92.66,90.0,72.06,89.01,75.53,78.4,89.38,82.63,Sobresaliente,0,85.55
83.74,33.17,38.13,80.99,38.68,87.61,94.68,32.54,31.54,82.76,85.12,85.88,Sobresaliente,0,64.57
76.33,84.71,24.73,78.75,29.66,89.1,73.48,76.51,94.21,21.11,88.87,80.75,Bueno,1,68.18
23.95,13.8,84.62,32.02,31.26,34.93,33.43,31.97,36.16,28.29,5.39,38.37,Insuficiente,3,32.85
98.42,88.53,96.16,82.45,68.61,26.62,85.74,31.62,85.44,90.16,89.27,22.09,Bueno,1,72.09
78.4,91.72,88.29,33.87,93.03,56.93,31.85,100.0,25.67,19.7,30.88,30.94,Regular,2,56.77
92.47,84.53,85.14,85.11,90.66,81.23,93.98,43.38,31.08,85.33,89.16,93.12,Sobresaliente,0,79.6
29.68,95.08,84.22,74.6,82.13,92.45,25.74,81.58,88.25,90.71,79.84,87.84,Sobresaliente,0,76.01
82.51,81.69,79.23,20.61,93.6,86.13,83.66,92.38,78.89,25.67,17.73,77.47,Bueno,1,68.3
25.37,95.65,17.34,81.94,75.75,94.03,86.74,80.99,71.5,27.26,92.6,82.32,Bueno,1,69.29
